symbol,price_btc,circulating_supply
SNGLS,0.0000139631,600000000.0
ADX,0.000113719,73430701.0
NANJ,4.30397E-7,19361889557.3
EDO,0.000284454,29261461.2776
CLOAK,0.00162208,5126849.7244
ITC,0.000168031,48603729.08
BIX,0.0000772331,104342466.049
RCN,0.0000163914,491280790.761
C20,0.000201392,39631641.9307
BAY,0.00000774981,1011774646.19
APPC,0.0000782568,100054311.845
EMC2,0.0000354657,216864257.6
BRD,0.0000863892,88862717.693
SOC,0.0000101911,745190105.297
DATA,0.0000105845,677154514.0
QRL,0.000137712,52000000.0
IHT,0.0000198,356927833.428
WPR,0.0000171025,408449325.814
VIBE,0.0000349397,199913906.56
TNT,0.0000161873,428481269.499
PPC,0.000275274,24737104.777
INS,0.000222298,30300918.1344
WABI,0.000148177,45248032.811
DNT,0.000011155,600000000.0
TEL,2.28019E-7,29060868833.7
CRPT,0.0000834726,78706576.9896
ION,0.0003139,20885955.4794
JNT,0.0000422065,150000000.0
SLS,0.00616318,1010440.85194
VIA,0.000269041,23024559.6875
WINGS,0.0000683781,89708333.0
EDG,0.0000745287,82046297.0
XPM,0.000256478,23445001.2103
ELEC,0.0000165828,357147878.709
QLC,0.0000246327,240000000.0
TKN,0.000245453,23946572.6104
UTK,0.0000204632,287227524.588
INT,0.0000389499,150000000.0
TRIG,0.000180983,32105577.5103
MNX,0.00157319,3686946.92036
SPANK,0.0000192231,300043386.0
RNTB,0.00000682819,841750000.0
MOD,0.000314292,18266200.0
XCP,0.0021925,2616482.02098
LBC,0.0000348944,163203121.001
MDS,0.0000106888,506750987.455
PURA,0.0000311033,173584358.52
FUEL,0.0000110913,485675392.554
PRL,0.0000689745,77966926.2205
DPY,0.000138197,38750005.0184
BANCA,4.55333E-7,11675255731.8
TRAC,0.0000207174,254507605.599
OCN,0.00000259791,2000000000.0
BURST,0.00000259565,1932747403.0
BCPT,0.0000692627,72351752.2867
EVN,0.0000460753,108563219.576
RKT,0.0000164327,302887021.143
WGR,0.0000267688,183000000.0
DATX,0.00000376593,1292868388.26
TAAS,0.000592313,8146000.7794
NLG,0.0000120912,396544600.0
FTC,0.0000257818,184604440.0
COSS,0.0000398702,118810621.886
XP,2.0844E-8,226116672651
ECA,1.9035E-7,24651767793.7
UTNP,0.00000262327,1757773856.93
TNC,0.0000138256,333333333.0
MOBI,0.0000121521,376657502.4
SBD,0.000362606,12572123.258
REN,0.0000097588,466953693.06
MLN,0.00753495,599400.0
BITCNY,0.0000175295,256969000.0
ETP,0.000125989,35499503.0061
CDT,0.00000680282,657023039.17
DCT,0.0000867706,51306089.0
PRE,0.000028284,155000000.0
SOAR,0.00000404,1081269353.05
KICK,0.00000960732,452072231.344
CSC,1.20307E-7,35973085511.3
SAFEX,0.00000280284,1543157590.0
NGC,0.0000735605,57672338.0
DAT,0.00000478281,880811506.299
QUN,0.00000513568,804304194.098
ADT,0.00000682211,600000000.0
TRUE,0.000163304,25000000.0
XBY,0.00000945026,430000000.0
YOYOW,0.0000152268,263343445.107
TEN,0.0000321657,124607147.91
MGO,0.0000405459,98028877.0
LET,0.00000654914,600000000.0
UKG,0.0000278141,141022371.35
SENT,0.00000205651,1899999999.15
VIB,0.0000231045,168053133.432
LGO,0.0000323963,119635679.45
COB,0.0000106876,362246647.008
CPC,0.0000166539,226765852.267
SENC,0.0000201981,185586204.57
XEL,0.0000408925,91623140.0
ODE,0.0000210163,177479000.832
SXDT,0.000045304,82073518.6244
SHIFT,0.000309986,11979980.2
STK,0.0000107383,341834575.352
HMQ,0.0000223294,162862944.036
BKX,0.000052255,69310369.7779
PHR,0.000280168,12909971.3858
TIO,0.0000400857,89921436.0103
ZPT,0.0000121761,293827778.0
MTH,0.0000163862,217515566.83
BAX,2.47365E-7,14248907134.9
LUN,0.00151224,2297853.07853
GUP,0.0000459214,75000000.0
HAV,0.0000562458,60470766.0554
CFI,0.0000102608,325000000.0
HTML,5.05453E-8,65877343747.5
DAI,0.000109676,30317996.2981
MER,0.0000332126,100000000.0
XDCE,9.47813E-7,3461218448.95
AEON,0.000205846,15775228.0542
LYM,0.0000052312,618643175.003
POT,0.0000145296,219834364.555
AMP,0.0000316489,100728564.0
ZOI,0.000181301,17576029.375
RVN,0.00000333551,953905170.51
CAPP,0.00000765016,413948998.65
RFR,0.00000134525,2353882437.32
DMT,0.0000623081,50216064.1985
PEPECASH,0.00000443589,701884009.0
TAU,0.0000218605,142215728.19
ONION,0.000216463,14358922.3335
NMC,0.000210907,14736400.0
DIME,5.74665E-9,5.3909674056E+11
EVX,0.000187733,16500000.0
TRST,0.0000334161,92147500.0
CRW,0.000166107,18186146.9069
ECC,1.20592E-7,25000000000.0
UP,0.0000211912,141959175.941
1ST,0.0000351246,85558370.5
UNO,0.015018,198568.851519
UUU,5.20133E-7,5721812434.0
MTN,0.0000160634,185000000.0
PRO,0.000170021,17459665.3911
HOT,0.00000777482,380901701.0
MWAT,0.00000709415,415000000.0
UGC,0.00000517554,568842039.121
MSP,0.0000209838,140000000.0
SHIP,0.0000181524,160714979.435
EKT,0.00000829183,350000000.0
ARN,0.000222666,13000000.0
XSH,0.00000600576,481730691.616
SWFTC,0.0000016478,1750000000.0
TIX,0.0000719154,40000000.0
TSL,0.00000493987,582029028.5
ACAT,0.00000102637,2790428084.0
DOCK,0.0000133078,212221521.567
BITB,0.00000112972,2485103000.0
AIDOC,0.00000632856,443330795.695
ZSC,0.00000243057,1153170765.0
FOTA,0.00000689467,400416066.971
BLT,0.0000577892,47674793.963
THC,0.00001195,230478759.763
XSN,0.0000479916,57082485.7285
IOC,0.00016385,16682306.9743
SNC,0.0000228375,119665373.154
HST,0.0000846596,32025998.4158
BERRY,0.0000105655,255628294.061
PPY,0.00067167,3967688.56373
DLT,0.0000309768,85978873.0
BOT,0.0000660881,40000000.0
TCT,0.00000546647,481425335.174
SWH,0.00000527373,490610995.087
RADS,0.000742485,3479533.71752
BLK,0.0000335147,76811574.3907
YEE,0.00000188117,1365218125.0
MDA,0.000129711,19628888.0
PASC,0.00012663,20085900.0
KEY,0.00000132433,1912447545.56
DADI,0.0000324441,77349832.1356
OAX,0.000100263,25009249.58
QBT,0.0000381334,65351403.0
DMD,0.000903103,2757315.37307
NMR,0.00180723,1350466.58735
MTX,0.00010439,23224303.1
OMNI,0.00431764,560936.379321
$PAC,6.78026E-7,3568283045.52
KRM,0.00000134419,1782809241.0
MEDIC,0.0000134223,177839375.512
GRID,0.0000604755,39236491.0
DXT,0.00000607362,390222225.333
LEO,0.0000231556,101743210.921
CV,4.21757E-7,5579008239.61
SPC,0.00000456105,514991706.617
ALQO,0.0000605191,38755899.1242
AIT,0.00000434229,535067071.156
RMT,0.00000458524,500000000.0
MDT,0.00000884145,259149817.866
TGT,0.00000239248,952429892.0
FLASH,0.00000251162,900000000.0
HMC,0.0000055659,404100000.0
LKK,0.00000711708,312625528.02
GRC,0.00000567453,390312753.151
VRC,0.0000714701,30939680.2051
ORME,0.00012969,17029321.0837
CAT,0.0000044019,501394405.74
ATM,4.68711E-7,4660285459.8
RVR,0.0000103892,210000000.0
HVN,0.00000580938,375000000.0
PRA,0.0000438713,49562749.45
COLX,1.99406E-7,10858907275.7
RNT,0.00000914822,235424687.891
SIB,0.000127031,16699349.5545
COV,0.000119823,17500000.0
MOT,0.0000545001,38437637.059
EKO,0.00000560179,372810007.0
LA,0.0000255618,81037294.0886
TFD,0.00000496797,416389859.911
OCT,0.0000687576,30000000.0
BCA,0.000113764,17976787.5
BPT,0.0000392486,51980933.4494
STQ,2.62041E-7,7767544246.55
POSW,0.0000460435,44100000.0
AXP,0.00000764011,265000000.0
HKN,0.000416628,4801249.94793
MOON,8.92694E-9,224050942087
PRG,0.0000303075,65936606.2397
AURA,0.0000194208,101907520.0
UQC,0.000197535,10000000.0
EDR,0.00000222868,886211987.679
PARETO,0.00000825316,236999075.452
DNA,0.0000311716,61938257.1729
SWM,0.0000377091,51113355.2495
PZM,0.00010883,17536907.7
BBN,0.0000121125,156436866.7
INCNT,0.0000409889,46016602.0
NET,0.000177377,10500000.0
BMC,0.0000875137,21153449.7074
EXP,0.000234022,7906396.53078
ZAP,0.0000165329,111748736.316
FAIR,0.00003453,53193831.47
EVE,0.0000291758,62918410.0
DBET,0.0000147282,124294512.323
SLT,0.000358869,5100895.65
FLO,0.0000127242,143762788.71
DIVX,0.00034008,5343206.61546
XWC,0.00000729376,248908799.193
ICOS,0.00315553,568278.462032
STX,0.0000417339,42482288.1048
XRL,0.0000229675,76958957.9434
BITUSD,0.000111445,15853100.0
SRCOIN,3.49468E-7,5052048083.95
FTX,0.0000356344,49503157.2631
TBAR,0.0000405194,43222415.7203
MUE,0.0000134507,130107804.948
SLR,0.0000414165,42177940.5896
XTO,0.00005289,32893237.7405
LMC,0.00000751996,228040318.637
LUX,0.00106744,1598050.0
IDH,0.00000426372,399936258.54
CLAM,0.00056915,2985039.7588
CHSB,0.00000294613,575821132.878
IXT,0.0000472845,35778843.8312
BDG,0.00000476933,354569198.325
DTB,0.0000739998,22747808.5
PLBT,0.000423695,3969564.99833
BEE,0.0000100399,167393546.351
NEOS,0.000438669,3784765.9878
NCT,0.00000112556,1468214569.51
TIPS,7.60387E-9,212269865434
FLIXX,0.0000208388,77161802.0974
BSD,0.00008421,18992025.0
XMY,0.00000101032,1570862750.0
OK,0.0000213737,73984391.8147
BIS,0.000168937,9284974.34114
CVT,0.00000557109,279172874.0
DIM,7.35952E-7,2102485837.33
BITG,0.000522474,2951086.64018
LINDA,1.71151E-7,8994903840.15
RISE,0.000012385,123827765.41
RBY,0.0000595095,25569946.3918
AUC,0.0000923083,16432482.737
CAS,0.00000402305,376581591.489
CREDO,0.00000274226,549891702.891
FLUZ,0.00000735995,204780000.0
SNOV,0.00000371909,404980448.439
NEU,0.0000523684,28722127.0414
EFX,0.00000773789,193668526.316
IPBC,0.0000340625,43566804.6351
ARY,0.0000216563,68430738.22
EVR,0.0000177239,83510764.5507
ENRG,0.000012,121834238.095
NLC2,0.00000699922,207620294.765
DEB,0.0000076694,189283937.47
SWT,0.000177926,8153333.33333
XSPEC,0.0000687906,20785264.0912
CXO,0.0000109327,129071409.35
FLDC,0.0000024051,585880527.0
GETX,0.00000467978,300000000.0
PTOY,0.0000199971,70000000.0
NXC,0.0000208358,66520798.5
GOLOS,0.0000110869,124518891.448
MUSIC,0.00000192952,714877520.0
PST,0.0000266508,51200000.0
DICE,0.000194508,7001622.64879
BBR,0.00011849,11439745.3034
IPSX,0.00000167142,802404381.738
LOC,0.00014426,9292966.0
DRT,0.00000225629,591500000.0
PLU,0.00156495,849999.5
CHP,0.00000702243,189075678.57
QAU,0.00001762,75177665.602
REM,0.0000021996,600295910.023
TUSD,0.00010941,11998507.75
GBX,0.000956624,1370918.00103
BNTY,0.00000952655,136806654.69
DBIX,0.000581774,2232900.913
SIG,0.00000465614,278059001.336
CVCOIN,0.00013083,9837033.0
ART,0.0000424053,30150150.1476
NYC,9.44784E-9,1.3402458876E+11
PURE,0.000158639,7860580.842
WCT,0.000124925,9969597.0
MINT,4.97588E-8,24947260808.0
CAN,0.0000299831,41014392.5906
SYNX,0.0000627671,19531650.0
HAT,0.000231268,5300325.29344
AIR,0.00000116386,1050000000.0
MYST,0.0000625121,19429024.2167
LALA,0.00000648589,185681684.787
GAM,0.00100103,1200279.34883
REBL,0.00000706267,169302649.416
LDC,0.00000152322,784399591.71
XPA,0.0000208354,57177751.2519
MUSE,0.0000787637,14581805.8361
POLIS,0.000605535,1895699.0
XST,0.0000394037,28691453.5853
ALIS,0.0000293027,38538647.0864
LNC,0.00001,112776150.004
HWC,0.000274975,4088747.60391
WRC,0.00000641017,175109299.0
CBT,0.00000647116,173256686.0
FDX,0.00001067,105000000.0
TCC,0.00000677,164925727.0
SPF,0.0000212951,52406425.4959
PUT,0.000025928,43016623.3565
TOA,4.44402E-7,2475649860.08
COFI,0.00000635497,172294294.571
BCC,0.000115168,9482362.85595
OXY,0.0000100725,108262100.337
ATN,0.0000505461,21505323.6364
AUR,0.000125364,8658139.13597
DYN,0.000220015,4899197.22742
TX,0.000167063,6444091.0
XLR,0.00084917,1251031.8747
IPL,0.00000524036,201000000.0
AU,0.00351328,297901.068315
PFR,0.0000117437,88999687.0385
BLUE,0.0000284958,36645278.3876
TIME,0.00146516,710112.8108
SEQ,0.00002245,45586901.7263
XAUR,0.00000803009,127133502.724
IFT,0.00000532396,191381257.0
BWK,0.000153899,6619622.24847
AVT,0.000168782,6000000.0
SPHR,0.0003277,3082940.27603
NPX,0.0000395128,25330000.0
MYB,0.000356092,2799476.19933
INSTAR,0.00000793695,125397697.235
PINK,0.00000258338,381906699.491
ZLA,0.0000255945,38466654.4415
BCY,0.0000423419,23178753.5816
ADB,0.00000203392,480953699.804
EXRN,1.05665E-8,92500000000.0
XNK,0.00000579802,167960777.528
PND,2.99452E-8,32514916897.8
RVT,0.0000370569,26244468.18
ELIX,0.000030357,31496250.3812
HEAT,0.0000281497,33882470.0
PKT,0.0000698005,13631512.4213
HQX,0.0000062643,151118385.658
IOP,0.000268327,3525843.44063
COVAL,9.4E-7,1000000000.0
DTH,0.0000129423,72500000.0
CURE,0.0000393116,23865220.0579
CLR,0.00000116268,800000000.0
ESP,4.296E-8,21509264641.2
ATL,0.0000245664,37551900.8722
TKS,0.000273154,3342540.35396
ERO,0.00000488808,186744000.0
GEO,0.000287773,3170551.1301
EBST,0.00004558,20000000.0
NVC,0.000442999,2057754.64084
RMC,0.6,1507.0
BRX,0.000141661,6268082.49403
XBC,0.00813367,109046.053781
NKC,0.00000658184,134306412.899
VOISE,0.00000170892,516387669.5
B2B,0.0000538915,16304929.3816
ATB,0.0000211361,41509843.236
HBT,0.000064043,13516418.1379
HAC,0.0000026154,324683546.713
GET,0.0000816884,10384393.4012
HXX,0.000528242,1599948.83063
CSNO,0.000012,70000000.0
DOVU,0.0000113828,73793250.3447
ADH,0.00000807398,102421214.28
QWARK,0.0000151141,54633631.2959
SUMO,0.00029198,2827061.45
NVST,0.0000547933,15000000.0
SXUT,0.0000334945,24529557.5131
KORE,0.000403854,2022464.88697
FLAP,7.01189E-9,115862335882
TRF,0.0000104041,77883717.127
HGT,0.00000307403,263034654.051
CAG,0.0000217273,37109986.8163
GLA,0.000070276,11300194.0805
ABY,0.00000100025,792537250.0
UCASH,4.29264E-7,1844678440.94
DOPE,0.00000674737,116845228.0
BUN,7.60448E-9,103007933321
DAN,0.0000288865,26958331.2878
LEV,0.00000654052,118090510.577
OBITS,0.0000492644,15674599.9451
POLL,0.0001084,6999991.0
PING,0.0000754579,9952089.0
PBL,0.0000403775,18582932.5
IDXM,0.372135,2000.0
PRIX,0.000620318,1182667.7806
PIRL,0.0000601196,12115296.0
CHIPS,0.0000346569,20968686.7904
LIFE,4.03262E-8,17979060137.9
INXT,0.0011508,629609.543
GAT,0.0000013634,529861448.67
ASTRO,0.000216539,3313833.18
VIT,0.00000358461,198209591.05
DERO,0.000348898,2014332.0
TIE,0.0000171949,40673606.3697
OPT,0.00000498794,140080548.898
AID,0.0000188663,36907835.8022
BTCZ,4.13143E-7,1661675171.56
PTC,0.00000513069,133748304.414
VIU,9.69569E-7,696968920.98
TFL,0.000108106,6247267.0
KB3,9.29007E-7,725617824.488
XHV,0.000354036,1902257.74653
APX,0.00095103,703179.0
MEME,0.0000299924,22182029.2995
DOT,0.00000223835,296364250.0
LOCI,0.0000180914,36518110.0895
OTN,0.000340445,1925384.35324
MNTP,0.000338791,1914996.84042
SEXC,0.00000100111,645515075.327
GLD,0.000015683,40987628.0
ERC,0.00006381,10057341.4671
SPD,0.0001682,3798943.999
EXCL,0.000139249,4561698.0
PLAY,0.00000529921,119054840.332
SPR,0.0000633497,9955942.72253
BTM,0.0000712971,8666280.0
CAT,0.0000835279,7360121.11185
USNBT,0.0000608529,10077092.7334
MSR,0.000119403,5091506.96726
1WO,0.0000298755,20334367.86
HYP,5E-7,1207769049.42
UNIT,0.0000427022,13711233.5156
TRCT,0.0000223937,25944824.8722
BON,0.000051292,11290301.06
GOOD,0.00000124725,463732924.296
DEV,0.000236287,2435050.87415
CPAY,0.00000848377,67501470.0
LEDU,0.00000259939,217789856.582
AIX,0.0000291145,19321214.0381
BTDX,0.0000253681,21928621.9892
VTR,0.000048,11561802.7057
SETH,0.0000321232,17264983.7759
HUSH,0.000146286,3751937.5
VRM,0.000340967,1597747.0494
MAX,0.00000872882,61445805.0
NIO,0.00000813624,65828135.0
EXY,0.0000196442,27088352.0999
MONK,0.00046292,1142912.34974
NTRN,0.0000150204,35129133.7846
CANN,0.00000683174,77231175.5326
PIPL,0.00000620451,83444258.0716
1337,1.96878E-8,26171471925.0
HORSE,0.00000511583,100475600.0
RIC,0.000012,42815049.9998
WISH,0.0000271805,18825061.5577
J8T,0.00000188242,271484971.578
2GIVE,9.80097E-7,519365620.861
SEND,0.0000158694,32074754.0966
ADST,0.0000260149,19379103.0
GCR,0.00000479,104056120.907
ING,0.0000124418,40000000.0
GCN,3.19872E-9,1.5552806E+11
EZT,0.0000429381,11500000.0
SPRTS,6.95814E-11,7.06556643217E+12
CRB,0.0000285932,16640476.7547
CPY,0.0000210699,22342936.7896
XGOX,2.29997E-7,2045784466.97
BIO,7.55178E-7,621751671.886
STAR,0.00000241845,187500000.0
PBT,0.371828,1250.0
DNR,0.000169758,2736929.30255
BRK,0.000024584,18880320.3466
QRK,0.00000181316,255183067.042
BLITZ,0.00010791,4144100.79267
ZEPH,0.00000352248,125990535.381
UFR,0.0000272918,16085000.0058
TRC,0.0000191103,22729823.7294
DRP,0.00005362,8094002.47
BPL,0.00001914,22293890.0011
SWIFT,0.00010948,3884634.745
ADC,4.78973E-7,886544644.334
ALT,0.00344538,123175.268484
BET,0.00000253001,167270820.688
XMCC,0.000100165,4176297.07113
EGC,0.000031357,13321300.5675
ZEIT,1.11712E-8,36971197471.1
IXC,0.0000196625,20999087.999
SHP,0.0000253957,16230143.6337
PIX,0.00000303966,135322017.0
CRED,0.0000307536,13308864.2711
STAC,0.00000231031,174607188.931
KRB,0.0000694399,5775512.3416
BEZ,0.00000984531,40634684.0
MVC,0.00000399946,100000810.448
SSS,1.7E-7,2344023561.01
UFO,1.09406E-7,3601519387.0
HUC,0.00001747,22451260.0
BUZZ,2.01074E-8,19488101896.7
ZRC,0.000102282,3807146.0
VZT,0.00000796565,48347660.2125
SCL,0.0000230206,16714019.6643
REF,0.000522695,732429.296428
PYLNT,0.00107809,354264.138846
ITNS,8.83701E-7,430625519.03
CRAVE,0.0000247721,15187708.6745
TRUST,0.00001166,32086595.2637
ZER,0.00012417,3002570.0
ODN,0.0000148985,25000000.0
TES,0.00000495,75115763.1256
CMPCO,9.40185E-7,394315548.168
RUP,0.0000150909,24255700.0
LINX,0.000016119,22669135.0
VSL,0.0000109,33390496.0334
DGPT,0.000251238,1402641.39
RUPX,0.0000181122,19431876.5678
VSX,0.00000217605,160559293.535
EVC,0.00001084,31250497.0
XMG,0.000042709,7921001.15539
AMM,0.0000320401,10429980.4519
ZNY,0.00000431827,75614500.0
DAR,0.0000239274,13600388.07
CRC,0.0000716923,4528335.95792
FOR,0.00000263099,123192742.105
EFL,0.0000193445,16588765.0
STA,0.0000614587,5200017.0
JIYO,0.0000126112,25341343.2301
PUT,7.55411E-7,421635297.631
SXC,0.00000250195,126783007.433
GMT,0.00000186105,170309624.822
REAL,0.0000310982,10055817.0
HOLD,9.6E-7,317639935.573
TDX,0.0000317299,9499999.46
TZC,0.000003117,95718600.0
SENSE,0.00000234671,125548234.86
ACE,0.0000318624,9226325.0
TBX,0.0000264223,11086905.8585
CHC,0.0000192,15065867.9966
ARG,0.0000306491,9398740.44495
FRD,0.0000021,135592899.935
NKA,1.9461E-8,14263573645.5
QVT,0.0000392062,7043163.04
808,5.32573E-9,51688636234.3
XBP,9.66614E-7,281780672.167
CREA,0.0000188639,14226521.426
UIS,0.00000453,58801232.9274
SMS,0.00253375,104680.087
HIRE,0.00000818533,32088698.4843
EBTC,0.0000138362,18897126.0
CPC,0.000131027,1990045.0
STAK,0.0000701495,3696450.00027
DAY,0.000389555,664797.740779
MAG,0.0000106413,24220956.4716
NOBL,1.1E-7,2326995510.59
KEK,0.00002399,10638839.0
RAIN,0.00000142,177347621.825
EQT,0.0000237893,10548255.3834
GRFT,0.00000146667,167744693.0
INN,0.00008562,2871474.85182
ELLA,0.0000333267,7337167.5
IND,0.00000650758,36832464.1233
TIG,0.0000164824,14458893.0479
KZC,0.00019001,1247073.80031
FYN,0.000255823,922376.971332
CDN,0.00000239806,97415544.2208
LDOGE,1.55674E-8,14992758544.4
ESZ,0.0000469185,4941599.92769
DP,0.00001183,19590799.0
WAND,0.0000188216,12244134.9651
BRIT,0.0000107839,21268092.1528
FYP,0.000013,17638681.0
KOBO,0.00000900857,24700247.6845
BBP,3.68738E-7,599556024.171
IC,0.000418626,527176.51865
MXT,0.000073246,2958213.41281
EFYT,0.000543882,397300.0
EMV,0.0000327265,6566666.0
LNC,0.00000170922,120140384.183
UNB,0.00008999,2278150.0
YOC,0.00000182655,112194700.277
BTW,0.00000552565,36325371.3184
DEM,0.00000535375,37392650.1866
CL,0.00000278745,70666779.0
BLU,3.35661E-7,574683675.01
MRT,0.0000189318,10000000.0
SAGA,0.0000593,3110138.62779
OCL,0.00000395584,46500000.0
GPU,0.0000044803,40477041.6133
ONG,0.00000719036,25109181.2123
ELE,0.0000069,26084491.2812
